kind,target,factor,value,scenario,leader,leader_changed,feasible,failed_checks,ranking
weight,vpub,0.8,0.24,,V7,True,,,V7>V8>FINAL>V1>V2>V5>V6>V4
weight,vpub,1.2,0.36,,FINAL,True,,,FINAL>V8>V7>V1>V2>V5>V6>V4
weight,c0,0.8,0.12,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
weight,c0,1.2,0.18,,V8,False,,,V8>V7>FINAL>V1>V2>V5>V6>V4
weight,kcash,0.8,0.12,,FINAL,True,,,FINAL>V8>V7>V1>V2>V5>V6>V4
weight,kcash,1.2,0.18,,V8,False,,,V8>V7>FINAL>V1>V2>V5>V6>V4
weight,readiness,0.8,0.08000000000000002,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
weight,readiness,1.2,0.12,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
weight,resilience,0.8,0.08000000000000002,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
weight,resilience,1.2,0.12,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
weight,scale,0.8,0.08000000000000002,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
weight,scale,1.2,0.12,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
weight,margin:STRESS:c0_limit,0.8,0.08000000000000002,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
weight,margin:STRESS:c0_limit,1.2,0.12,,V8,False,,,V8>FINAL>V7>V1>V2>V5>V6>V4
parameter,vpub,0.8,,BASE,,,True,,
parameter,vpub,0.8,,STRESS,,,True,,
parameter,vpub,1.2,,BASE,,,True,,
parameter,vpub,1.2,,STRESS,,,True,,
parameter,cash,0.8,,BASE,,,True,,
parameter,cash,0.8,,STRESS,,,True,,
parameter,cash,1.2,,BASE,,,True,,
parameter,cash,1.2,,STRESS,,,True,,
